IFR;PERC_D;PERC_K;MFI;UO;SUPRES;FUT
62,89 ;90,83 ;89,58 ;73,80 ;68,48 ;98,66 ;1
63,10 ;90,20 ;84,72 ;74,54 ;65,26 ;95,15 ;1
66,91 ;90,95 ;93,58 ;75,64 ;67,70 ;99,71 ;1
63,98 ;90,43 ;87,24 ;66,87 ;61,96 ;94,01 ;1
64,87 ;89,77 ;87,21 ;59,27 ;65,80 ;96,13 ;1
72,05 ;88,71 ;86,48 ;66,89 ;70,24 ;98,81 ;1
72,24 ;88,10 ;86,49 ;70,89 ;67,30 ;90,33 ;1
72,46 ;87,17 ;84,25 ;64,18 ;67,12 ;90,88 ;1
73,07 ;86,42 ;78,22 ;64,86 ;67,02 ;92,29 ;1
78,06 ;86,00 ;85,77 ;67,46 ;70,39 ;100,00 ;1
78,37 ;86,86 ;92,53 ;69,01 ;74,90 ;99,60 ;1
79,88 ;87,43 ;98,64 ;74,63 ;74,28 ;98,80 ;1
83,06 ;88,69 ;98,64 ;76,01 ;74,94 ;100,00 ;1
78,22 ;89,38 ;93,41 ;83,18 ;74,71 ;93,24 ;1
82,80 ;90,26 ;94,41 ;84,29 ;79,17 ;100,00 ;3
78,36 ;90,46 ;88,24 ;85,69 ;73,75 ;92,66 ;3
60,81 ;89,16 ;72,56 ;73,40 ;57,12 ;76,58 ;1
56,39 ;85,36 ;44,08 ;69,24 ;49,56 ;71,36 ;1
60,95 ;78,93 ;27,82 ;73,67 ;50,43 ;79,16 ;1
61,18 ;71,46 ;25,32 ;69,18 ;48,56 ;79,57 ;1
63,53 ;64,37 ;34,86 ;68,69 ;51,58 ;83,73 ;3
61,46 ;57,40 ;35,84 ;67,10 ;43,83 ;81,58 ;1
60,63 ;51,15 ;37,21 ;62,73 ;44,61 ;80,74 ;1
64,99 ;45,34 ;42,09 ;63,44 ;53,81 ;87,93 ;3
58,99 ;40,88 ;48,14 ;57,76 ;54,65 ;81,80 ;1
62,13 ;40,14 ;65,88 ;57,47 ;56,76 ;86,91 ;3
62,16 ;43,53 ;74,59 ;55,98 ;56,57 ;86,96 ;3
53,49 ;47,61 ;64,59 ;49,62 ;48,63 ;77,63 ;3
51,63 ;49,87 ;45,61 ;42,07 ;50,72 ;75,38 ;2
54,36 ;49,70 ;33,31 ;37,67 ;53,12 ;78,96 ;1
50,05 ;49,33 ;32,56 ;40,67 ;48,55 ;73,89 ;1
52,32 ;49,06 ;34,80 ;49,09 ;54,00 ;76,71 ;1
58,93 ;49,73 ;48,06 ;49,04 ;55,48 ;86,01 ;1
64,19 ;52,50 ;73,10 ;56,41 ;57,41 ;95,16 ;3
60,37 ;54,97 ;88,12 ;49,31 ;61,81 ;90,97 ;1
62,03 ;56,39 ;87,39 ;57,66 ;59,10 ;93,82 ;3
58,58 ;58,00 ;79,03 ;57,02 ;57,52 ;90,09 ;3
52,29 ;60,16 ;65,12 ;48,14 ;54,00 ;82,58 ;1
57,75 ;63,22 ;60,82 ;55,06 ;58,67 ;90,97 ;3
54,40 ;65,68 ;54,66 ;48,32 ;50,88 ;86,77 ;1
54,36 ;67,76 ;53,52 ;40,17 ;42,86 ;86,74 ;3
55,75 ;67,26 ;43,60 ;38,98 ;47,58 ;88,68 ;3
47,78 ;62,25 ;27,97 ;38,15 ;42,15 ;78,73 ;1
50,19 ;55,21 ;24,76 ;32,99 ;45,94 ;81,86 ;1
54,59 ;49,00 ;31,49 ;40,02 ;53,13 ;87,96 ;3
51,21 ;44,96 ;42,74 ;34,56 ;48,35 ;83,72 ;3
46,09 ;41,62 ;35,07 ;27,89 ;44,95 ;76,67 ;3
42,27 ;36,99 ;19,15 ;19,63 ;44,52 ;70,77 ;1
43,57 ;32,30 ;12,41 ;22,97 ;45,74 ;72,29 ;1
44,91 ;28,68 ;20,90 ;19,57 ;50,07 ;73,82 ;1
41,23 ;25,92 ;18,80 ;19,78 ;38,99 ;68,48 ;1
40,97 ;24,78 ;17,75 ;20,08 ;36,73 ;68,10 ;1
51,17 ;25,30 ;29,40 ;20,60 ;44,85 ;79,91 ;1
54,09 ;27,91 ;54,97 ;29,21 ;50,22 ;83,95 ;1
54,34 ;31,52 ;75,27 ;38,41 ;47,94 ;84,30 ;1
54,16 ;36,49 ;79,73 ;40,38 ;45,92 ;82,42 ;1
54,80 ;43,03 ;78,02 ;42,72 ;49,38 ;82,33 ;1
58,21 ;50,89 ;83,20 ;49,53 ;56,38 ;87,22 ;2
61,05 ;58,66 ;90,80 ;48,70 ;60,25 ;90,89 ;3
58,54 ;66,87 ;92,73 ;48,93 ;51,95 ;87,46 ;3
58,49 ;74,74 ;88,58 ;50,57 ;52,17 ;87,10 ;3
52,45 ;79,20 ;69,54 ;50,60 ;50,81 ;79,33 ;3
50,83 ;78,47 ;48,40 ;43,92 ;45,31 ;77,19 ;3
42,98 ;72,50 ;21,52 ;37,41 ;37,62 ;64,64 ;3
42,18 ;64,60 ;8,59 ;37,43 ;35,39 ;61,62 ;3
37,14 ;56,07 ;1,24 ;37,43 ;28,98 ;48,24 ;1
41,32 ;47,71 ;8,00 ;37,48 ;31,31 ;52,87 ;1
44,73 ;39,51 ;16,99 ;33,82 ;31,72 ;57,97 ;1
47,79 ;32,70 ;31,43 ;31,48 ;35,90 ;62,50 ;1
49,54 ;27,43 ;41,13 ;35,95 ;39,56 ;65,29 ;1
53,87 ;25,80 ;54,91 ;39,79 ;49,48 ;72,59 ;3
49,67 ;27,58 ;64,40 ;33,66 ;45,22 ;63,14 ;3
49,09 ;33,06 ;70,90 ;27,59 ;47,26 ;61,43 ;3
43,70 ;38,83 ;60,44 ;28,58 ;39,30 ;49,80 ;3
46,74 ;44,76 ;54,60 ;33,24 ;38,12 ;54,84 ;3
40,69 ;47,56 ;33,26 ;34,67 ;30,78 ;41,95 ;3
38,58 ;48,41 ;24,63 ;36,60 ;31,95 ;28,71 ;1
42,64 ;46,77 ;16,69 ;46,43 ;31,48 ;25,13 ;1
43,10 ;45,07 ;25,82 ;46,47 ;39,28 ;25,37 ;1
49,56 ;43,46 ;40,44 ;56,65 ;47,79 ;34,87 ;3
43,90 ;40,99 ;42,11 ;47,57 ;44,90 ;18,23 ;3
45,84 ;38,60 ;49,43 ;41,12 ;43,79 ;23,02 ;3
40,65 ;35,79 ;35,17 ;32,66 ;44,40 ;6,56 ;3
35,32 ;33,06 ;30,02 ;24,67 ;43,91 ;10,86 ;1
36,92 ;31,75 ;21,41 ;30,37 ;43,74 ;13,86 ;1
42,07 ;32,57 ;32,08 ;38,21 ;45,41 ;23,39 ;3
30,06 ;33,54 ;25,39 ;35,70 ;32,32 ;0,00 ;1
36,31 ;33,37 ;24,28 ;43,48 ;39,34 ;15,20 ;3
31,59 ;30,05 ;10,58 ;38,53 ;35,95 ;4,16 ;1
41,23 ;28,02 ;23,82 ;45,27 ;44,53 ;23,66 ;1
42,08 ;25,97 ;30,99 ;51,98 ;49,43 ;25,55 ;1
42,83 ;27,38 ;47,85 ;52,94 ;47,86 ;27,13 ;1
45,72 ;30,49 ;57,99 ;59,01 ;49,30 ;33,19 ;1
44,60 ;35,21 ;63,91 ;52,46 ;60,65 ;30,41 ;1
51,10 ;40,30 ;77,90 ;59,07 ;63,82 ;44,48 ;3
46,37 ;46,28 ;79,17 ;57,95 ;64,50 ;33,12 ;1
44,86 ;52,42 ;79,53 ;58,55 ;59,75 ;29,27 ;1
47,32 ;58,97 ;69,56 ;65,47 ;57,29 ;34,39 ;1
52,01 ;65,02 ;78,25 ;64,54 ;63,96 ;44,79 ;1
53,47 ;70,92 ;84,09 ;65,09 ;58,56 ;48,20 ;3
54,12 ;75,59 ;89,90 ;66,28 ;59,20 ;49,65 ;1
52,75 ;78,39 ;83,22 ;64,84 ;49,39 ;47,13 ;1
49,66 ;79,35 ;72,50 ;66,41 ;53,58 ;41,32 ;1
56,68 ;78,84 ;73,33 ;67,72 ;60,21 ;56,21 ;1
55,83 ;78,03 ;71,91 ;69,14 ;54,02 ;54,70 ;1
60,20 ;79,01 ;88,34 ;69,75 ;58,06 ;64,98 ;2
59,62 ;80,76 ;85,31 ;71,05 ;55,81 ;64,04 ;2
62,38 ;82,40 ;93,01 ;76,71 ;58,80 ;74,42 ;2
62,61 ;83,24 ;91,70 ;76,21 ;61,63 ;75,02 ;2
62,19 ;83,89 ;95,68 ;82,55 ;64,71 ;74,42 ;2
62,79 ;85,02 ;93,43 ;87,79 ;62,85 ;75,75 ;3
66,10 ;87,49 ;94,74 ;88,25 ;70,92 ;83,39 ;3
54,18 ;88,08 ;78,60 ;79,24 ;52,59 ;65,85 ;3
53,31 ;86,86 ;60,91 ;72,67 ;56,18 ;64,39 ;2
49,71 ;80,55 ;31,53 ;73,51 ;48,87 ;58,21 ;1
52,95 ;74,15 ;27,74 ;73,81 ;48,92 ;64,05 ;3
48,86 ;65,74 ;17,29 ;74,02 ;45,14 ;57,01 ;3
46,74 ;57,32 ;15,97 ;67,30 ;41,73 ;53,16 ;3
40,55 ;47,27 ;5,19 ;57,56 ;33,69 ;40,60 ;1
49,76 ;38,58 ;15,21 ;56,75 ;46,44 ;56,74 ;3
49,12 ;30,77 ;24,47 ;55,15 ;42,74 ;55,48 ;3
50,03 ;26,99 ;44,56 ;48,12 ;48,73 ;57,14 ;3
50,26 ;26,06 ;52,57 ;48,49 ;49,15 ;57,54 ;3
42,79 ;27,47 ;44,23 ;39,87 ;47,18 ;43,52 ;3
47,56 ;28,70 ;38,83 ;38,93 ;51,53 ;51,50 ;3
37,82 ;28,81 ;18,25 ;31,24 ;45,45 ;28,64 ;1
37,67 ;29,16 ;19,17 ;32,81 ;41,52 ;28,24 ;1
45,54 ;30,90 ;20,83 ;39,00 ;47,64 ;42,19 ;1
49,71 ;34,15 ;44,43 ;45,47 ;47,56 ;50,70 ;1
55,88 ;38,84 ;66,74 ;50,37 ;48,33 ;65,12 ;2
56,54 ;42,58 ;78,22 ;56,34 ;50,19 ;66,78 ;1
57,09 ;46,00 ;83,31 ;56,85 ;49,15 ;70,54 ;1
58,76 ;50,83 ;87,71 ;64,22 ;60,58 ;74,60 ;2
61,77 ;56,85 ;93,00 ;64,52 ;63,14 ;86,34 ;3
59,25 ;65,33 ;94,58 ;57,76 ;60,53 ;90,44 ;1
60,41 ;73,75 ;94,94 ;57,67 ;60,79 ;93,63 ;2
60,56 ;81,76 ;92,88 ;57,85 ;62,58 ;94,03 ;2
61,36 ;86,45 ;86,67 ;67,11 ;63,61 ;91,63 ;3
61,36 ;87,75 ;78,42 ;60,72 ;62,01 ;91,63 ;3
57,14 ;86,10 ;63,41 ;60,93 ;59,83 ;85,63 ;3
55,78 ;82,61 ;51,92 ;60,63 ;58,88 ;83,65 ;2
53,38 ;76,64 ;33,93 ;60,45 ;55,64 ;80,17 ;1
48,65 ;68,39 ;18,78 ;55,47 ;48,23 ;72,89 ;1
54,54 ;59,99 ;18,96 ;50,41 ;51,74 ;82,78 ;1
59,54 ;53,69 ;38,24 ;50,53 ;58,35 ;92,68 ;1
59,94 ;50,36 ;62,91 ;56,32 ;59,79 ;93,52 ;1
59,36 ;49,48 ;78,72 ;56,36 ;62,07 ;92,75 ;1
64,05 ;49,93 ;82,51 ;57,95 ;60,04 ;95,08 ;3
62,50 ;52,16 ;83,49 ;58,46 ;62,58 ;93,30 ;3
54,08 ;54,26 ;70,77 ;58,39 ;56,51 ;82,68 ;1
55,34 ;57,19 ;60,33 ;49,98 ;57,30 ;84,75 ;1
58,71 ;61,43 ;56,90 ;49,05 ;55,81 ;90,45 ;1
51,91 ;64,87 ;49,98 ;50,17 ;48,98 ;81,26 ;1
61,51 ;67,63 ;63,10 ;58,96 ;57,11 ;98,17 ;1
61,05 ;67,96 ;65,81 ;66,63 ;57,15 ;93,28 ;1
63,94 ;69,15 ;89,48 ;67,79 ;60,36 ;99,33 ;2
66,34 ;70,18 ;91,76 ;73,40 ;69,36 ;100,00 ;2
59,72 ;70,94 ;90,37 ;66,53 ;61,83 ;91,00 ;2
62,45 ;72,80 ;87,49 ;66,12 ;63,15 ;96,32 ;2
60,46 ;75,02 ;80,27 ;62,12 ;66,54 ;93,91 ;1
63,07 ;78,45 ;87,79 ;61,90 ;65,62 ;98,72 ;2
64,15 ;82,96 ;90,59 ;59,77 ;67,71 ;99,23 ;1
62,48 ;85,72 ;87,95 ;67,32 ;57,93 ;89,87 ;1
67,62 ;88,33 ;89,30 ;74,96 ;60,93 ;100,00 ;1
72,22 ;88,41 ;90,14 ;83,66 ;71,43 ;100,00 ;3
72,41 ;88,97 ;96,84 ;84,12 ;69,30 ;96,79 ;3
71,68 ;89,25 ;92,89 ;80,23 ;74,50 ;96,11 ;3
61,51 ;88,23 ;78,33 ;72,68 ;63,19 ;85,66 ;3
57,60 ;86,13 ;61,38 ;65,78 ;60,79 ;81,03 ;3
55,82 ;80,71 ;38,94 ;63,91 ;61,74 ;78,87 ;3
50,48 ;73,48 ;25,60 ;55,79 ;55,53 ;72,01 ;2
55,10 ;66,50 ;25,09 ;64,28 ;58,77 ;78,87 ;3
45,27 ;58,59 ;18,14 ;53,75 ;49,30 ;64,03 ;1
49,18 ;50,60 ;18,22 ;58,53 ;46,37 ;69,97 ;3
49,22 ;41,14 ;11,72 ;59,50 ;48,47 ;70,03 ;3
42,23 ;32,34 ;13,67 ;53,96 ;42,90 ;58,16 ;3
37,46 ;24,67 ;9,28 ;46,88 ;41,76 ;48,28 ;1
46,11 ;19,61 ;15,81 ;45,82 ;47,35 ;61,32 ;3
42,07 ;17,49 ;19,88 ;38,56 ;37,84 ;52,91 ;3
39,60 ;17,32 ;24,07 ;29,92 ;42,46 ;47,35 ;3
34,54 ;15,94 ;12,68 ;29,67 ;36,72 ;34,49 ;3
32,36 ;14,68 ;6,78 ;30,01 ;34,88 ;28,19 ;1
32,21 ;13,16 ;4,58 ;29,74 ;36,52 ;27,76 ;1
30,83 ;12,29 ;3,89 ;26,54 ;36,49 ;23,87 ;1
31,28 ;11,65 ;7,86 ;26,94 ;32,45 ;24,42 ;1
38,59 ;12,37 ;15,81 ;26,89 ;37,79 ;33,75 ;3
40,39 ;13,73 ;28,04 ;36,48 ;39,86 ;36,23 ;3
39,76 ;15,89 ;39,31 ;34,83 ;42,37 ;34,99 ;3
34,17 ;17,04 ;34,41 ;27,97 ;38,90 ;22,94 ;1
37,79 ;19,61 ;35,79 ;32,50 ;42,79 ;27,57 ;1
41,06 ;23,50 ;41,83 ;38,92 ;47,52 ;31,90 ;1
46,58 ;30,34 ;66,13 ;39,43 ;47,82 ;39,81 ;3
39,01 ;36,59 ;60,15 ;38,59 ;38,03 ;24,61 ;3
39,19 ;40,88 ;46,49 ;39,86 ;37,66 ;24,85 ;3
42,02 ;42,43 ;29,77 ;48,06 ;40,15 ;28,81 ;3
37,18 ;42,31 ;26,90 ;47,90 ;43,07 ;18,55 ;3
31,06 ;40,12 ;19,61 ;47,93 ;35,12 ;2,24 ;2
29,68 ;37,10 ;7,28 ;48,14 ;32,48 ;1,84 ;1
32,03 ;33,80 ;6,02 ;53,69 ;30,99 ;5,55 ;1
32,76 ;30,30 ;10,38 ;52,36 ;32,45 ;6,43 ;3
33,67 ;24,94 ;17,87 ;43,13 ;37,63 ;10,76 ;3
32,48 ;20,62 ;21,22 ;34,96 ;40,23 ;8,20 ;2
32,10 ;18,03 ;23,18 ;40,62 ;42,58 ;7,40 ;1
37,45 ;17,88 ;28,47 ;42,46 ;51,08 ;12,81 ;3
36,07 ;18,63 ;33,60 ;34,84 ;54,50 ;10,36 ;3
33,38 ;20,59 ;37,27 ;26,11 ;51,27 ;5,41 ;3
27,53 ;22,66 ;25,88 ;22,94 ;48,58 ;2,07 ;2
27,22 ;23,66 ;15,05 ;22,14 ;40,81 ;1,35 ;1
34,33 ;24,28 ;15,97 ;25,50 ;42,32 ;7,76 ;3
30,45 ;23,76 ;13,18 ;25,47 ;38,31 ;0,00 ;3
31,12 ;22,76 ;12,27 ;25,71 ;35,48 ;0,62 ;3
26,50 ;20,29 ;0,91 ;23,63 ;28,21 ;0,00 ;1
26,45 ;18,07 ;8,46 ;20,73 ;35,17 ;7,81 ;1
27,50 ;16,18 ;16,63 ;19,32 ;35,97 ;8,55 ;1
32,68 ;15,85 ;34,30 ;23,52 ;39,49 ;12,24 ;1
45,54 ;19,65 ;60,08 ;31,23 ;45,05 ;23,57 ;3
42,97 ;26,50 ;76,73 ;32,93 ;45,34 ;20,27 ;3
36,04 ;32,68 ;71,57 ;28,22 ;41,42 ;9,85 ;3
30,06 ;35,49 ;38,49 ;28,53 ;39,50 ;0,21 ;1
31,57 ;36,02 ;16,99 ;29,47 ;36,66 ;3,74 ;1
34,57 ;37,24 ;11,87 ;39,94 ;39,69 ;6,52 ;3
34,76 ;38,43 ;19,18 ;46,49 ;38,29 ;6,69 ;3
33,37 ;38,79 ;19,93 ;40,06 ;30,13 ;4,40 ;3
29,67 ;36,41 ;12,81 ;41,60 ;28,69 ;0,24 ;1
29,65 ;30,62 ;8,04 ;42,98 ;33,09 ;2,76 ;1
34,71 ;23,37 ;11,47 ;55,03 ;44,01 ;6,56 ;1
39,35 ;19,02 ;32,43 ;61,98 ;43,89 ;10,31 ;3
36,94 ;19,89 ;46,29 ;57,57 ;42,73 ;7,11 ;1
34,68 ;23,24 ;47,14 ;52,47 ;39,31 ;3,95 ;1
37,41 ;26,51 ;41,24 ;43,05 ;41,71 ;6,89 ;1
48,28 ;30,72 ;57,14 ;42,23 ;53,57 ;16,56 ;1
51,58 ;37,15 ;77,78 ;51,00 ;55,09 ;20,08 ;3
48,96 ;45,54 ;88,28 ;52,89 ;52,92 ;17,34 ;3
45,52 ;53,07 ;75,88 ;55,77 ;48,73 ;13,54 ;1
45,09 ;59,07 ;65,44 ;47,53 ;49,41 ;13,07 ;1
51,16 ;63,00 ;67,77 ;46,76 ;56,74 ;18,90 ;3
51,93 ;66,37 ;76,62 ;52,79 ;54,49 ;19,69 ;3
49,02 ;70,25 ;82,13 ;53,20 ;45,42 ;17,37 ;3
47,00 ;72,95 ;65,50 ;54,45 ;43,58 ;15,39 ;1
44,58 ;71,23 ;41,66 ;45,60 ;45,07 ;13,99 ;1
43,63 ;65,05 ;22,16 ;48,33 ;43,22 ;12,95 ;3
39,34 ;56,99 ;15,73 ;45,23 ;41,17 ;8,28 ;1
42,50 ;51,00 ;22,00 ;43,72 ;43,85 ;10,93 ;1
37,99 ;45,93 ;19,79 ;50,89 ;35,51 ;5,31 ;1
33,39 ;40,03 ;14,70 ;41,91 ;32,41 ;0,00 ;1
42,83 ;33,20 ;15,12 ;42,40 ;38,91 ;9,67 ;1
48,76 ;27,79 ;33,45 ;49,40 ;47,99 ;16,59 ;3
51,02 ;27,03 ;58,66 ;54,90 ;53,83 ;20,71 ;3
39,49 ;27,94 ;49,88 ;52,89 ;46,70 ;2,52 ;1
44,15 ;30,52 ;45,31 ;46,22 ;49,41 ;13,29 ;1
37,53 ;31,10 ;21,00 ;39,68 ;48,24 ;0,76 ;1
45,42 ;32,35 ;33,27 ;45,73 ;55,66 ;14,37 ;1
51,56 ;35,19 ;45,28 ;51,19 ;56,25 ;26,99 ;3
47,96 ;40,77 ;64,98 ;50,86 ;48,39 ;19,16 ;3
43,41 ;45,60 ;58,55 ;42,61 ;43,81 ;8,28 ;1
45,24 ;46,57 ;42,24 ;44,74 ;50,93 ;11,83 ;1
49,85 ;45,00 ;44,48 ;51,25 ;48,90 ;21,24 ;3
46,49 ;45,05 ;50,36 ;44,20 ;53,55 ;13,75 ;3
37,84 ;44,73 ;42,40 ;44,30 ;43,41 ;5,84 ;1
44,26 ;46,15 ;33,82 ;41,84 ;45,27 ;17,48 ;3
44,24 ;46,15 ;33,25 ;40,66 ;50,94 ;17,43 ;3
38,01 ;44,43 ;29,76 ;33,39 ;46,82 ;1,50 ;1
37,25 ;39,12 ;17,24 ;34,39 ;43,82 ;1,84 ;3
34,00 ;33,99 ;12,35 ;34,77 ;44,28 ;13,90 ;1
32,47 ;31,27 ;17,77 ;41,71 ;43,68 ;10,26 ;1
32,15 ;28,86 ;22,80 ;33,70 ;47,26 ;9,45 ;1
30,18 ;25,18 ;17,17 ;24,86 ;39,10 ;4,56 ;1
29,79 ;22,42 ;17,57 ;25,41 ;40,63 ;9,41 ;1
40,38 ;21,73 ;27,65 ;32,27 ;49,60 ;24,07 ;1
41,10 ;22,80 ;42,89 ;40,03 ;50,11 ;25,13 ;3
33,43 ;24,07 ;41,14 ;32,68 ;42,51 ;6,61 ;1
32,63 ;25,64 ;31,38 ;33,57 ;46,04 ;8,16 ;1
35,35 ;26,78 ;22,65 ;40,86 ;47,07 ;11,75 ;1
44,15 ;29,12 ;38,85 ;41,28 ;54,47 ;24,80 ;1
44,97 ;32,64 ;54,46 ;41,04 ;53,41 ;26,13 ;3
40,11 ;37,19 ;58,12 ;42,42 ;47,08 ;16,09 ;1
38,54 ;40,50 ;47,37 ;42,65 ;48,31 ;12,91 ;3
36,17 ;40,83 ;30,64 ;43,66 ;51,07 ;7,55 ;1
32,99 ;37,93 ;16,76 ;37,81 ;46,22 ;0,00 ;1
41,30 ;35,51 ;19,40 ;45,08 ;50,95 ;13,04 ;1
42,85 ;35,31 ;29,57 ;52,50 ;45,45 ;15,68 ;1
47,46 ;38,81 ;54,14 ;59,61 ;46,94 ;23,86 ;1
47,99 ;41,86 ;66,27 ;51,72 ;53,12 ;24,82 ;1
50,37 ;44,78 ;80,72 ;50,15 ;57,61 ;29,05 ;1
54,07 ;47,97 ;86,90 ;58,91 ;62,90 ;35,98 ;3
48,77 ;52,05 ;84,07 ;58,24 ;60,80 ;26,60 ;3
46,33 ;56,67 ;72,22 ;51,04 ;56,02 ;21,93 ;1
45,08 ;61,25 ;57,93 ;50,58 ;52,41 ;19,53 ;1
47,95 ;64,56 ;49,22 ;50,33 ;47,98 ;26,24 ;3
48,89 ;66,12 ;43,59 ;51,04 ;48,76 ;29,41 ;3
44,18 ;63,35 ;29,22 ;51,36 ;43,12 ;20,01 ;1
45,45 ;58,60 ;23,54 ;52,32 ;43,69 ;22,11 ;1
46,34 ;51,89 ;20,34 ;57,52 ;49,76 ;23,55 ;3
45,72 ;45,31 ;27,63 ;51,81 ;48,95 ;22,44 ;3
42,18 ;38,40 ;21,94 ;45,94 ;49,73 ;16,03 ;3
40,33 ;31,92 ;13,91 ;39,23 ;46,56 ;12,49 ;1
35,71 ;26,17 ;6,12 ;41,61 ;39,00 ;2,82 ;1
45,96 ;23,08 ;21,41 ;38,90 ;49,65 ;17,69 ;1
47,50 ;22,91 ;42,05 ;35,78 ;48,25 ;20,23 ;1
49,30 ;27,32 ;68,92 ;44,69 ;50,72 ;23,16 ;3
48,52 ;33,35 ;77,80 ;51,46 ;48,11 ;21,89 ;1
49,67 ;40,43 ;84,11 ;49,54 ;49,99 ;23,61 ;3
44,13 ;45,47 ;72,96 ;41,12 ;47,33 ;14,65 ;3
42,86 ;49,77 ;60,61 ;42,37 ;48,43 ;12,44 ;3
42,76 ;53,33 ;46,01 ;44,17 ;44,90 ;12,27 ;1
41,05 ;56,35 ;33,31 ;51,62 ;40,48 ;9,51 ;1
39,48 ;56,67 ;24,23 ;43,39 ;38,63 ;6,97 ;1
49,45 ;55,59 ;32,33 ;53,18 ;49,14 ;19,18 ;1
49,49 ;53,50 ;50,16 ;61,07 ;50,39 ;19,57 ;1
55,56 ;53,20 ;75,08 ;69,30 ;59,45 ;29,23 ;1
53,25 ;52,51 ;77,89 ;76,48 ;57,33 ;26,17 ;1
54,33 ;53,56 ;82,39 ;69,33 ;58,41 ;27,78 ;1
52,78 ;55,37 ;76,93 ;69,46 ;57,15 ;27,51 ;1
57,56 ;59,62 ;84,28 ;68,75 ;60,63 ;34,95 ;1
59,24 ;65,85 ;89,37 ;71,28 ;59,06 ;37,77 ;3
53,83 ;72,76 ;86,37 ;64,68 ;54,46 ;31,21 ;3
53,30 ;77,21 ;72,45 ;65,32 ;52,62 ;30,54 ;3
48,11 ;76,95 ;47,78 ;65,96 ;52,21 ;23,70 ;3
44,42 ;71,49 ;25,93 ;67,69 ;41,77 ;18,28 ;1
47,80 ;64,35 ;13,66 ;66,56 ;47,72 ;22,53 ;1
47,35 ;56,50 ;11,72 ;71,72 ;42,44 ;21,92 ;1
47,83 ;49,95 ;17,95 ;69,81 ;37,47 ;22,47 ;1
58,25 ;44,92 ;39,01 ;69,20 ;51,59 ;36,69 ;1
64,25 ;41,85 ;61,77 ;70,38 ;56,08 ;47,77 ;1
66,95 ;41,60 ;84,14 ;72,19 ;60,03 ;54,77 ;3
59,51 ;42,23 ;78,09 ;72,62 ;57,06 ;49,13 ;1
62,63 ;45,40 ;76,33 ;73,06 ;60,97 ;56,04 ;1
61,24 ;50,60 ;72,72 ;74,23 ;58,53 ;54,14 ;3
52,09 ;56,39 ;65,80 ;63,78 ;52,29 ;43,46 ;1
54,14 ;61,31 ;55,98 ;61,12 ;49,45 ;54,57 ;3
49,90 ;63,72 ;39,63 ;58,01 ;43,59 ;46,95 ;1
52,57 ;63,36 ;35,78 ;54,62 ;49,11 ;52,97 ;1
53,33 ;59,94 ;31,04 ;60,53 ;52,73 ;58,45 ;3
52,38 ;54,38 ;34,04 ;57,94 ;47,29 ;60,18 ;3
47,61 ;48,73 ;27,25 ;54,00 ;43,95 ;52,38 ;1
